id,new_category,confidence
1604,Peace,Medium
1605,Wealth & Abundance,Medium
1606,Self-Love & Worthiness,Medium
1607,Self-Love & Worthiness,Low
1608,Self-Love & Worthiness,Medium
1609,Self-Love & Worthiness,Low
1610,Self-Love & Worthiness,High
1611,Self-Love & Worthiness,High
1612,Self-Love & Worthiness,Low
1613,Self-Love & Worthiness,Low
1614,Self-Love & Worthiness,Low
1615,Self-Love & Worthiness,Low
1616,Self-Love & Worthiness,Low
1617,Self-Love & Worthiness,Medium
1618,Self-Love & Worthiness,Medium
1619,Love & Relationships,Medium
1620,Love & Relationships,High
1621,Love & Relationships,Medium
1622,Self-Love & Worthiness,Low
1623,Self-Love & Worthiness,High
1624,Self-Love & Worthiness,Medium
1625,Self-Love & Worthiness,Low
1626,Confidence & Inner Strength,Medium
1627,Love & Relationships,Medium
1628,Self-Love & Worthiness,Low
1629,Self-Love & Worthiness,Low
1630,Self-Love & Worthiness,Low
1631,Self-Love & Worthiness,Low
1632,Self-Love & Worthiness,Low
1633,Self-Love & Worthiness,Medium
1634,Self-Love & Worthiness,Low
1635,Love & Relationships,Medium
1636,Love & Relationships,Medium
1637,Love & Relationships,Medium
1638,Love & Relationships,Medium
1639,Self-Love & Worthiness,Medium
1640,Self-Love & Worthiness,Medium
1641,Self-Love & Worthiness,Low
1642,Love & Relationships,Medium
1643,Love & Relationships,Medium
1644,Love & Relationships,Medium
1645,Love & Relationships,Medium
1646,Love & Relationships,Medium
1647,Health & Wholeness,Medium
1648,Love & Relationships,Medium
1649,Love & Relationships,Medium
1650,Love & Relationships,Medium
1651,Love & Relationships,Medium
1652,Love & Relationships,Medium
1653,Self-Love & Worthiness,Low
1654,Self-Love & Worthiness,Low
1655,Self-Love & Worthiness,Medium
1656,Self-Love & Worthiness,Medium
1657,Self-Love & Worthiness,Low
1658,Self-Love & Worthiness,Low
1659,Self-Love & Worthiness,Low
1660,Self-Love & Worthiness,Low
1661,Self-Love & Worthiness,Low
1662,Self-Love & Worthiness,Low
1663,Self-Love & Worthiness,Low
1664,Self-Love & Worthiness,Low
1665,Self-Love & Worthiness,Low
1666,Self-Love & Worthiness,Low
1667,Peace,Medium
1668,Wealth & Abundance,Medium
1669,Self-Love & Worthiness,Low
1670,Self-Love & Worthiness,Low
1671,Self-Love & Worthiness,Medium
1672,Self-Love & Worthiness,Low
1673,Love & Relationships,Medium
1674,Love & Relationships,Medium
1675,Peace,Medium
1676,Peace,Medium
1677,Peace,Medium
1678,Peace,Medium
1679,Peace,Medium
1680,Peace,Medium
1681,Love & Relationships,Medium
1682,Peace,Medium
1683,Peace,Medium
1684,Peace,Medium
1685,Peace,Medium
1686,Self-Love & Worthiness,Low
1687,Self-Love & Worthiness,Low
1688,Self-Love & Worthiness,Medium
1689,Self-Love & Worthiness,Medium
1690,Self-Love & Worthiness,Medium
1691,Self-Love & Worthiness,Low
1692,Wealth & Abundance,Medium
1693,Peace,Medium
1694,Self-Love & Worthiness,Low
1695,Self-Love & Worthiness,Low
1696,Peace,Medium
1697,Self-Love & Worthiness,Medium
1698,Self-Love & Worthiness,Medium
1699,Self-Love & Worthiness,Low
1700,Self-Love & Worthiness,Low
1701,Self-Love & Worthiness,Low
1702,Self-Love & Worthiness,Low
1703,Self-Love & Worthiness,Low
1704,Love & Relationships,Medium
1705,Peace,Medium
1706,Self-Love & Worthiness,Low
1707,Love & Relationships,Medium
1708,Self-Love & Worthiness,Low
1709,Peace,Medium
1710,Self-Love & Worthiness,Low
1711,Self-Love & Worthiness,Low
1712,Self-Love & Worthiness,Low
1713,Self-Love & Worthiness,Low
1714,Love & Relationships,Medium
1715,Love & Relationships,Medium
1716,Love & Relationships,Medium
1717,Love & Relationships,Medium
1718,Love & Relationships,Medium
1719,Self-Love & Worthiness,Low
1720,Self-Love & Worthiness,Low
1721,Self-Love & Worthiness,Low
1722,Love & Relationships,Medium
1723,Love & Relationships,Medium
1724,Self-Love & Worthiness,Medium
1725,Love & Relationships,Medium
1726,Love & Relationships,Medium
1727,Love & Relationships,Medium
1728,Love & Relationships,Medium
1729,Love & Relationships,Medium
1730,Self-Love & Worthiness,Low
1731,Wealth & Abundance,Medium
1732,Self-Love & Worthiness,Low
1733,Self-Love & Worthiness,Low
1734,Self-Love & Worthiness,Low
1735,Peace,Medium
1736,Peace,Medium
1737,Self-Love & Worthiness,Low
1738,Self-Love & Worthiness,Medium
1739,Self-Love & Worthiness,Medium
1740,Self-Love & Worthiness,Medium
1741,Self-Love & Worthiness,Medium
1742,Self-Love & Worthiness,Medium
1743,Self-Love & Worthiness,Medium
1744,Self-Love & Worthiness,Medium
1745,Self-Love & Worthiness,Low
1746,Self-Love & Worthiness,Low
1747,Self-Love & Worthiness,Low
1748,Self-Love & Worthiness,Medium
1749,Confidence & Inner Strength,High
1750,Self-Love & Worthiness,Medium
1751,Self-Love & Worthiness,Low
1752,Self-Love & Worthiness,Low
1753,Self-Love & Worthiness,Low
1754,Self-Love & Worthiness,Low
1755,Peace,Medium
1756,Love & Relationships,Medium
1757,Love & Relationships,High
1758,Love & Relationships,Medium
1759,Love & Relationships,Medium
1760,Love & Relationships,Medium
1761,Love & Relationships,Medium
1762,Love & Relationships,Medium
1763,Self-Love & Worthiness,Medium
1764,Love & Relationships,Medium
1765,Self-Love & Worthiness,Low
1766,Self-Love & Worthiness,Low
1767,Purpose,Medium
1768,Purpose,Medium
1769,Self-Love & Worthiness,Low
1770,Love & Relationships,Medium
1771,Self-Love & Worthiness,Low
1772,Self-Love & Worthiness,Low
1773,Self-Love & Worthiness,Low
1774,Love & Relationships,Medium
1775,Love & Relationships,Medium
1776,Love & Relationships,Medium
1777,Love & Relationships,Medium
1778,Love & Relationships,Medium
1779,Self-Love & Worthiness,Low
1780,Love & Relationships,Medium
1781,Peace,Medium
1782,Love & Relationships,Medium
1783,Love & Relationships,Medium
1784,Love & Relationships,Medium
1785,Love & Relationships,Medium
1786,Love & Relationships,Medium
1787,Purpose,Medium
1788,Self-Love & Worthiness,Low
1789,Self-Love & Worthiness,Medium
1790,Self-Love & Worthiness,Medium
1791,Self-Love & Worthiness,Low
1792,Love & Relationships,High
1793,Peace,Medium
1794,Love & Relationships,Medium
1795,Love & Relationships,Medium
1796,Love & Relationships,Medium
1797,Self-Love & Worthiness,Low
1798,Self-Love & Worthiness,Low
1799,Love & Relationships,Medium
1800,Love & Relationships,Medium
1801,Self-Love & Worthiness,Low
1802,Self-Love & Worthiness,Low
1803,Love & Relationships,Medium
1804,Peace,Medium
1805,Peace,Medium
1806,Self-Love & Worthiness,Low
1807,Peace,Medium
1808,Self-Love & Worthiness,Low
1809,Self-Love & Worthiness,Low
1810,Self-Love & Worthiness,Low
1811,Self-Love & Worthiness,Low
1812,Self-Love & Worthiness,Low
1813,Self-Love & Worthiness,Low
1814,Self-Love & Worthiness,High
1815,Self-Love & Worthiness,Low
1816,Wealth & Abundance,Medium
1817,Love & Relationships,Medium
1818,Self-Love & Worthiness,Low
1819,Self-Love & Worthiness,Low
1820,Self-Love & Worthiness,Low
1821,Self-Love & Worthiness,Low
1822,Self-Love & Worthiness,Low
1823,Love & Relationships,Medium
1824,Self-Love & Worthiness,Low
1825,Self-Love & Worthiness,Low
1826,Love & Relationships,Medium
1827,Health & Wholeness,High
1828,Purpose,Medium
1829,Self-Love & Worthiness,Low
1830,Self-Love & Worthiness,Medium
1831,Self-Love & Worthiness,Low
1832,Self-Love & Worthiness,Low
1833,Self-Love & Worthiness,Low
1834,Purpose,Medium
1835,Peace,Medium
1836,Self-Love & Worthiness,Low
1837,Self-Love & Worthiness,Low
1838,Self-Love & Worthiness,Medium
1839,Love & Relationships,Medium
1840,Self-Love & Worthiness,Low
1841,Peace,Medium
1842,Self-Love & Worthiness,Low
1843,Self-Love & Worthiness,Medium
1844,Self-Love & Worthiness,Medium
1845,Self-Love & Worthiness,Low
1846,Self-Love & Worthiness,Low
1847,Self-Love & Worthiness,Low
1848,Self-Love & Worthiness,Low
1849,Purpose,Medium
1850,Self-Love & Worthiness,High
1851,Self-Love & Worthiness,Medium
1852,Self-Love & Worthiness,Low
1,Love & Relationships,Medium
2,Love & Relationships,Medium
3,Self-Love & Worthiness,Medium
4,Self-Love & Worthiness,Medium
5,Love & Relationships,Medium
6,Love & Relationships,Medium
7,Self-Love & Worthiness,Medium
8,Wealth & Abundance,High
9,Love & Relationships,Medium
10,Love & Relationships,Medium
11,Health & Wholeness,High
12,Love & Relationships,Medium
13,Love & Relationships,Medium
14,Love & Relationships,Medium
15,Love & Relationships,High
16,Self-Love & Worthiness,Medium
17,Love & Relationships,Medium
18,Love & Relationships,Medium
19,Confidence & Inner Strength,Medium
20,Love & Relationships,Medium
21,Self-Love & Worthiness,Medium
22,Love & Relationships,Medium
23,Love & Relationships,Medium
24,Love & Relationships,High
25,Love & Relationships,Medium
26,Love & Relationships,Medium
27,Health & Wholeness,Medium
28,Love & Relationships,High
29,Love & Relationships,High
30,Love & Relationships,Medium
31,Love & Relationships,Medium
32,Love & Relationships,Medium
33,Love & Relationships,Medium
34,Love & Relationships,Medium
35,Love & Relationships,Medium
36,Love & Relationships,Medium
37,Love & Relationships,Medium
38,Love & Relationships,High
39,Love & Relationships,Medium
40,Love & Relationships,Medium
41,Love & Relationships,Medium
42,Love & Relationships,Medium
43,Love & Relationships,Medium
44,Self-Love & Worthiness,Medium
45,Love & Relationships,Medium
46,Love & Relationships,Medium
47,Love & Relationships,Medium
48,Love & Relationships,Medium
49,Love & Relationships,Medium
50,Love & Relationships,Medium
51,Love & Relationships,Medium
52,Confidence & Inner Strength,Medium
53,Love & Relationships,Medium
54,Love & Relationships,Medium
55,Love & Relationships,High
56,Love & Relationships,Medium
57,Love & Relationships,Medium
58,Love & Relationships,Medium
59,Love & Relationships,Medium
60,Love & Relationships,Medium
61,Love & Relationships,High
62,Love & Relationships,Medium
63,Love & Relationships,Medium
64,Love & Relationships,High
65,Wealth & Abundance,High
66,Love & Relationships,Medium
67,Love & Relationships,Medium
68,Health & Wholeness,Medium
69,Love & Relationships,Medium
70,Love & Relationships,Medium
71,Love & Relationships,Medium
72,Love & Relationships,Medium
73,Love & Relationships,Medium
74,Love & Relationships,Medium
75,Love & Relationships,Medium
76,Love & Relationships,Medium
77,Love & Relationships,Medium
78,Love & Relationships,Medium
79,Love & Relationships,Medium
80,Self-Love & Worthiness,Medium
81,Love & Relationships,Medium
82,Love & Relationships,Medium
83,Love & Relationships,Medium
84,Love & Relationships,Medium
85,Love & Relationships,Medium
86,Self-Love & Worthiness,Medium
87,Love & Relationships,Medium
88,Love & Relationships,Medium
89,Love & Relationships,Medium
90,Love & Relationships,Medium
91,Love & Relationships,Medium
92,Love & Relationships,Medium
93,Love & Relationships,Medium
94,Love & Relationships,Medium
95,Self-Love & Worthiness,Medium
96,Peace,High
97,Love & Relationships,Medium
98,Purpose,High
99,Health & Wholeness,Medium
100,Love & Relationships,Medium
101,Love & Relationships,Medium
102,Love & Relationships,Medium
103,Self-Love & Worthiness,Medium
104,Self-Love & Worthiness,Medium
105,Love & Relationships,Medium
106,Health & Wholeness,Medium
107,Love & Relationships,Medium
108,Love & Relationships,Medium
109,Love & Relationships,Medium
110,Love & Relationships,Medium
111,Love & Relationships,Medium
112,Love & Relationships,Medium
113,Love & Relationships,Medium
114,Love & Relationships,Medium
115,Love & Relationships,Medium
116,Love & Relationships,Medium
117,Love & Relationships,Medium
118,Love & Relationships,Medium
119,Love & Relationships,Medium
120,Self-Love & Worthiness,Medium
121,Love & Relationships,Medium
122,Self-Love & Worthiness,Medium
123,Love & Relationships,Medium
124,Self-Love & Worthiness,Medium
125,Self-Love & Worthiness,High
126,Love & Relationships,Medium
127,Love & Relationships,Medium
128,Love & Relationships,Medium
129,Love & Relationships,Medium
130,Love & Relationships,Medium
131,Self-Love & Worthiness,Medium
132,Self-Love & Worthiness,Medium
133,Love & Relationships,Medium
134,Love & Relationships,High
135,Love & Relationships,Medium
136,Love & Relationships,Medium
137,Self-Love & Worthiness,High
138,Self-Love & Worthiness,Medium
139,Love & Relationships,Medium
140,Confidence & Inner Strength,Medium
141,Love & Relationships,Medium
142,Love & Relationships,Medium
143,Love & Relationships,Medium
144,Love & Relationships,Medium
145,Love & Relationships,Medium
146,Love & Relationships,Medium
147,Self-Love & Worthiness,Medium
148,Love & Relationships,Medium
149,Love & Relationships,Medium
150,Love & Relationships,Medium
151,Love & Relationships,Medium
152,Love & Relationships,Medium
153,Self-Love & Worthiness,Medium
154,Self-Love & Worthiness,Medium
155,Love & Relationships,Medium
156,Love & Relationships,Medium
157,Love & Relationships,Medium
158,Love & Relationships,Medium
159,Love & Relationships,Medium
160,Love & Relationships,Medium
161,Health & Wholeness,Medium
162,Love & Relationships,Medium
163,Love & Relationships,Medium
164,Love & Relationships,Medium
165,Love & Relationships,Medium
166,Love & Relationships,Medium
167,Love & Relationships,Medium
168,Love & Relationships,Medium
169,Self-Love & Worthiness,Medium
170,Self-Love & Worthiness,Medium
171,Love & Relationships,Medium
172,Love & Relationships,Medium
173,Love & Relationships,Medium
174,Love & Relationships,Medium
175,Love & Relationships,Medium
176,Love & Relationships,Medium
177,Love & Relationships,Medium
178,Love & Relationships,Medium
179,Love & Relationships,Medium
180,Love & Relationships,Medium
181,Love & Relationships,Medium
182,Love & Relationships,Medium
183,Love & Relationships,Medium
184,Self-Love & Worthiness,Medium
185,Love & Relationships,Medium
186,Love & Relationships,Medium
187,Love & Relationships,Medium
188,Love & Relationships,Medium
189,Love & Relationships,Medium
190,Love & Relationships,Medium
191,Love & Relationships,Medium
192,Love & Relationships,Medium
193,Love & Relationships,Medium
194,Love & Relationships,Medium
195,Love & Relationships,Medium
196,Love & Relationships,Medium
197,Love & Relationships,Medium
198,Love & Relationships,Medium
199,Love & Relationships,Medium
200,Love & Relationships,Medium
201,Love & Relationships,Medium
202,Self-Love & Worthiness,Medium
203,Self-Love & Worthiness,Medium
204,Self-Love & Worthiness,Medium
205,Love & Relationships,Medium
206,Love & Relationships,Medium
207,Love & Relationships,Medium
208,Love & Relationships,Medium
209,Love & Relationships,Medium
210,Love & Relationships,Medium
211,Self-Love & Worthiness,Medium
212,Self-Love & Worthiness,Medium
213,Love & Relationships,Medium
214,Love & Relationships,Medium
215,Love & Relationships,Medium
216,Love & Relationships,Medium
217,Love & Relationships,Medium
218,Love & Relationships,Medium
219,Love & Relationships,Medium
220,Love & Relationships,Medium
221,Love & Relationships,High
222,Love & Relationships,Medium
223,Love & Relationships,Medium
224,Love & Relationships,Medium
225,Love & Relationships,Medium
226,Love & Relationships,Medium
227,Love & Relationships,Medium
228,Love & Relationships,Medium
229,Love & Relationships,Medium
230,Love & Relationships,Medium
231,Love & Relationships,Medium
232,Love & Relationships,Medium
233,Love & Relationships,Medium
234,Love & Relationships,Medium
235,Love & Relationships,Medium
236,Love & Relationships,Medium
237,Love & Relationships,Medium
238,Self-Love & Worthiness,Medium
239,Love & Relationships,Medium
240,Love & Relationships,Medium
241,Love & Relationships,Medium
242,Love & Relationships,Medium
243,Love & Relationships,Medium
244,Love & Relationships,Medium
245,Love & Relationships,Medium
246,Love & Relationships,Medium
247,Love & Relationships,Medium
248,Love & Relationships,Medium
249,Love & Relationships,Medium
250,Love & Relationships,Medium
251,Love & Relationships,Medium
252,Self-Love & Worthiness,Medium
253,Self-Love & Worthiness,Medium
254,Self-Love & Worthiness,Medium
255,Self-Love & Worthiness,Medium
256,Self-Love & Worthiness,Medium
257,Self-Love & Worthiness,Medium
258,Love & Relationships,High
259,Love & Relationships,Medium
260,Love & Relationships,Medium
261,Love & Relationships,Medium
262,Self-Love & Worthiness,Medium
263,Self-Love & Worthiness,Medium
264,Self-Love & Worthiness,Medium
265,Love & Relationships,Medium
266,Love & Relationships,Medium
267,Love & Relationships,Medium
268,Love & Relationships,Medium
269,Love & Relationships,Medium
270,Love & Relationships,High
271,Love & Relationships,High
272,Love & Relationships,Medium
273,Love & Relationships,Medium
274,Love & Relationships,Medium
275,Love & Relationships,Medium
276,Love & Relationships,Medium
277,Self-Love & Worthiness,Medium
278,Love & Relationships,Medium
279,Love & Relationships,Medium
280,Love & Relationships,Medium
281,Love & Relationships,Medium
282,Love & Relationships,Medium
283,Love & Relationships,Medium
284,Love & Relationships,High
285,Love & Relationships,Medium
286,Love & Relationships,Medium
287,Love & Relationships,Medium
288,Love & Relationships,Medium
289,Love & Relationships,Medium
290,Love & Relationships,Medium
291,Love & Relationships,Medium
292,Love & Relationships,Medium
293,Love & Relationships,Medium
294,Love & Relationships,Medium
295,Love & Relationships,Medium
296,Love & Relationships,Medium
297,Love & Relationships,Medium
298,Love & Relationships,Medium
299,Love & Relationships,Medium
300,Love & Relationships,Medium
301,Love & Relationships,Medium
302,Love & Relationships,Medium
303,Self-Love & Worthiness,Medium
304,Self-Love & Worthiness,Medium
305,Love & Relationships,Medium
306,Love & Relationships,High
307,Love & Relationships,Medium
308,Love & Relationships,Medium
309,Love & Relationships,High
310,Love & Relationships,High
311,Love & Relationships,Medium
312,Love & Relationships,Medium
313,Love & Relationships,High
314,Love & Relationships,High
315,Love & Relationships,Medium
316,Love & Relationships,Medium
317,Love & Relationships,Medium
318,Love & Relationships,Medium
319,Love & Relationships,Medium
320,Love & Relationships,Medium
321,Love & Relationships,Medium
322,Love & Relationships,Medium
323,Love & Relationships,Medium
324,Love & Relationships,Medium
325,Love & Relationships,Medium
326,Love & Relationships,Medium
327,Love & Relationships,Medium
328,Self-Love & Worthiness,High
329,Love & Relationships,Medium
330,Love & Relationships,Medium
331,Love & Relationships,Medium
332,Love & Relationships,Medium
333,Love & Relationships,Medium
334,Love & Relationships,Medium
335,Love & Relationships,Medium
336,Love & Relationships,Medium
337,Love & Relationships,High
338,Love & Relationships,Medium
339,Love & Relationships,Medium
340,Love & Relationships,Medium
341,Health & Wholeness,High
342,Love & Relationships,Medium
343,Love & Relationships,Medium
344,Self-Love & Worthiness,Medium
345,Love & Relationships,Medium
346,Love & Relationships,Medium
347,Love & Relationships,Medium
348,Love & Relationships,Medium
349,Love & Relationships,Medium
350,Love & Relationships,Medium
351,Love & Relationships,Medium
352,Self-Love & Worthiness,Medium
353,Love & Relationships,Medium
354,Love & Relationships,Medium
355,Love & Relationships,Medium
356,Love & Relationships,Medium
357,Self-Love & Worthiness,Medium
358,Self-Love & Worthiness,Medium
359,Love & Relationships,Medium
360,Love & Relationships,Medium
361,Love & Relationships,Medium
362,Love & Relationships,Medium
363,Love & Relationships,Medium
364,Love & Relationships,Medium
365,Self-Love & Worthiness,Medium
366,Love & Relationships,Medium
367,Love & Relationships,Medium
368,Self-Love & Worthiness,Medium
369,Self-Love & Worthiness,Medium
370,Love & Relationships,Medium
371,Love & Relationships,Medium
372,Self-Love & Worthiness,Medium
373,Wealth & Abundance,High
374,Love & Relationships,Medium
375,Love & Relationships,Medium
376,Health & Wholeness,High
377,Love & Relationships,Medium
378,Love & Relationships,Medium
379,Love & Relationships,Medium
380,Love & Relationships,High
381,Self-Love & Worthiness,Medium
382,Love & Relationships,Medium
383,Love & Relationships,Medium
384,Confidence & Inner Strength,Medium
385,Love & Relationships,Medium
386,Self-Love & Worthiness,Medium
387,Love & Relationships,Medium
388,Love & Relationships,Medium
389,Love & Relationships,High
390,Love & Relationships,Medium
391,Love & Relationships,Medium
392,Health & Wholeness,Medium
393,Love & Relationships,High
394,Love & Relationships,High
395,Love & Relationships,Medium
396,Love & Relationships,Medium
397,Love & Relationships,Medium
398,Love & Relationships,Medium
399,Love & Relationships,Medium
400,Love & Relationships,Medium
401,Love & Relationships,Medium
402,Love & Relationships,Medium
403,Love & Relationships,High
404,Love & Relationships,Medium
405,Love & Relationships,Medium
406,Love & Relationships,Medium
407,Love & Relationships,Medium
408,Love & Relationships,Medium
409,Self-Love & Worthiness,Medium
410,Love & Relationships,Medium
411,Love & Relationships,Medium
412,Love & Relationships,Medium
413,Love & Relationships,Medium
414,Love & Relationships,Medium
415,Love & Relationships,Medium
416,Love & Relationships,Medium
417,Confidence & Inner Strength,Medium
418,Love & Relationships,Medium
419,Love & Relationships,Medium
420,Love & Relationships,High
421,Love & Relationships,Medium
422,Love & Relationships,Medium
423,Love & Relationships,Medium
424,Love & Relationships,Medium
425,Love & Relationships,Medium
426,Love & Relationships,High
427,Love & Relationships,Medium
428,Love & Relationships,Medium
429,Love & Relationships,High
430,Wealth & Abundance,High
431,Love & Relationships,Medium
432,Love & Relationships,Medium
433,Health & Wholeness,Medium
434,Love & Relationships,Medium
435,Love & Relationships,Medium
436,Love & Relationships,Medium
437,Love & Relationships,Medium
438,Love & Relationships,Medium
439,Love & Relationships,Medium
440,Love & Relationships,Medium
441,Love & Relationships,Medium
442,Love & Relationships,Medium
443,Love & Relationships,Medium
444,Love & Relationships,Medium
445,Self-Love & Worthiness,Medium
446,Love & Relationships,Medium
447,Love & Relationships,Medium
448,Love & Relationships,Medium
449,Love & Relationships,Medium
450,Love & Relationships,Medium
451,Self-Love & Worthiness,Medium
452,Love & Relationships,Medium
453,Love & Relationships,Medium
454,Love & Relationships,Medium
455,Love & Relationships,Medium
456,Love & Relationships,Medium
457,Love & Relationships,Medium
458,Love & Relationships,Medium
459,Love & Relationships,Medium
460,Self-Love & Worthiness,Medium
461,Peace,High
462,Love & Relationships,Medium
463,Purpose,High
464,Health & Wholeness,Medium
465,Love & Relationships,Medium
466,Love & Relationships,Medium
467,Love & Relationships,Medium
468,Self-Love & Worthiness,Medium
469,Self-Love & Worthiness,Medium
470,Love & Relationships,Medium
471,Health & Wholeness,Medium
472,Love & Relationships,Medium
473,Love & Relationships,Medium
474,Love & Relationships,Medium
475,Love & Relationships,Medium
476,Love & Relationships,Medium
477,Love & Relationships,Medium
478,Love & Relationships,Medium
479,Love & Relationships,Medium
480,Love & Relationships,Medium
481,Love & Relationships,Medium
482,Love & Relationships,Medium
483,Love & Relationships,Medium
484,Love & Relationships,Medium
485,Self-Love & Worthiness,Medium
486,Love & Relationships,Medium
487,Self-Love & Worthiness,Medium
488,Love & Relationships,Medium
489,Self-Love & Worthiness,Medium
490,Self-Love & Worthiness,High
491,Love & Relationships,Medium
492,Love & Relationships,Medium
493,Love & Relationships,Medium
494,Love & Relationships,Medium
495,Love & Relationships,Medium
496,Self-Love & Worthiness,Medium
497,Self-Love & Worthiness,Medium
498,Love & Relationships,Medium
499,Love & Relationships,High
500,Love & Relationships,Medium
501,Love & Relationships,Medium
502,Self-Love & Worthiness,High
503,Self-Love & Worthiness,Medium
504,Love & Relationships,Medium
505,Confidence & Inner Strength,Medium
506,Love & Relationships,Medium
507,Love & Relationships,Medium
508,Love & Relationships,Medium
509,Love & Relationships,Medium
510,Love & Relationships,Medium
511,Love & Relationships,Medium
512,Self-Love & Worthiness,Medium
513,Love & Relationships,Medium
514,Love & Relationships,Medium
515,Love & Relationships,Medium
516,Love & Relationships,Medium
517,Love & Relationships,Medium
518,Self-Love & Worthiness,Medium
519,Self-Love & Worthiness,Medium
520,Love & Relationships,Medium
521,Love & Relationships,Medium
522,Love & Relationships,Medium
523,Love & Relationships,Medium
524,Love & Relationships,Medium
525,Love & Relationships,Medium
526,Health & Wholeness,Medium
527,Love & Relationships,Medium
528,Love & Relationships,Medium
529,Love & Relationships,Medium
530,Love & Relationships,Medium
531,Love & Relationships,Medium
532,Love & Relationships,Medium
533,Love & Relationships,Medium
534,Self-Love & Worthiness,Medium
535,Self-Love & Worthiness,Medium
536,Love & Relationships,Medium
537,Love & Relationships,Medium
538,Love & Relationships,Medium
539,Love & Relationships,Medium
540,Love & Relationships,Medium
541,Love & Relationships,Medium
542,Love & Relationships,Medium
543,Love & Relationships,Medium
544,Love & Relationships,Medium
545,Love & Relationships,Medium
546,Love & Relationships,Medium
547,Love & Relationships,Medium
548,Love & Relationships,Medium
549,Self-Love & Worthiness,Medium
550,Love & Relationships,Medium
551,Love & Relationships,Medium
552,Love & Relationships,Medium
553,Love & Relationships,Medium
554,Love & Relationships,Medium
555,Love & Relationships,Medium
556,Love & Relationships,Medium
557,Love & Relationships,Medium
558,Love & Relationships,Medium
559,Love & Relationships,Medium
560,Love & Relationships,Medium
561,Love & Relationships,Medium
562,Love & Relationships,Medium
563,Love & Relationships,Medium
564,Love & Relationships,Medium
565,Love & Relationships,Medium
566,Love & Relationships,Medium
567,Self-Love & Worthiness,Medium
568,Self-Love & Worthiness,Medium
569,Self-Love & Worthiness,Medium
570,Love & Relationships,Medium
571,Love & Relationships,Medium
572,Love & Relationships,Medium
573,Love & Relationships,Medium
574,Love & Relationships,Medium
575,Love & Relationships,Medium
576,Self-Love & Worthiness,Medium
577,Self-Love & Worthiness,Medium
578,Love & Relationships,Medium
579,Love & Relationships,Medium
580,Love & Relationships,Medium
581,Love & Relationships,Medium
582,Love & Relationships,Medium
583,Love & Relationships,Medium
584,Love & Relationships,Medium
585,Love & Relationships,Medium
586,Love & Relationships,High
587,Love & Relationships,Medium
588,Love & Relationships,Medium
589,Love & Relationships,Medium
590,Love & Relationships,Medium
591,Love & Relationships,Medium
592,Love & Relationships,Medium
593,Love & Relationships,Medium
594,Love & Relationships,Medium
595,Love & Relationships,Medium
596,Love & Relationships,Medium
597,Love & Relationships,Medium
598,Love & Relationships,Medium
599,Love & Relationships,Medium
600,Love & Relationships,Medium
601,Love & Relationships,Medium
602,Love & Relationships,Medium
603,Self-Love & Worthiness,Medium
604,Love & Relationships,Medium
605,Love & Relationships,Medium
606,Love & Relationships,Medium
607,Love & Relationships,Medium
608,Love & Relationships,Medium
609,Love & Relationships,Medium
610,Love & Relationships,Medium
611,Love & Relationships,Medium
612,Love & Relationships,Medium
613,Love & Relationships,Medium
614,Love & Relationships,Medium
615,Love & Relationships,Medium
616,Love & Relationships,Medium
617,Self-Love & Worthiness,Medium
618,Self-Love & Worthiness,Medium
619,Self-Love & Worthiness,Medium
620,Self-Love & Worthiness,Medium
621,Self-Love & Worthiness,Medium
622,Self-Love & Worthiness,Medium
623,Love & Relationships,High
624,Love & Relationships,Medium
625,Love & Relationships,Medium
626,Love & Relationships,Medium
627,Self-Love & Worthiness,Medium
628,Self-Love & Worthiness,Medium
629,Self-Love & Worthiness,Medium
630,Love & Relationships,Medium
631,Love & Relationships,Medium
632,Love & Relationships,Medium
633,Love & Relationships,Medium
634,Love & Relationships,Medium
635,Love & Relationships,High
636,Love & Relationships,High
637,Love & Relationships,Medium
638,Love & Relationships,Medium
639,Love & Relationships,Medium
640,Love & Relationships,Medium
641,Love & Relationships,Medium
642,Self-Love & Worthiness,Medium
643,Love & Relationships,Medium
644,Love & Relationships,Medium
645,Love & Relationships,Medium
646,Love & Relationships,Medium
647,Love & Relationships,Medium
648,Love & Relationships,Medium
649,Love & Relationships,High
650,Love & Relationships,Medium
651,Love & Relationships,Medium
652,Love & Relationships,Medium
653,Love & Relationships,Medium
654,Love & Relationships,Medium
655,Love & Relationships,Medium
656,Love & Relationships,Medium
657,Love & Relationships,Medium
658,Love & Relationships,Medium
659,Love & Relationships,Medium
660,Love & Relationships,Medium
661,Love & Relationships,Medium
662,Love & Relationships,Medium
663,Love & Relationships,Medium
664,Love & Relationships,Medium
665,Love & Relationships,Medium
666,Love & Relationships,Medium
667,Love & Relationships,Medium
668,Self-Love & Worthiness,Medium
669,Self-Love & Worthiness,Medium
670,Love & Relationships,Medium
671,Love & Relationships,High
672,Love & Relationships,Medium
673,Love & Relationships,Medium
674,Love & Relationships,High
675,Love & Relationships,High
676,Love & Relationships,Medium
677,Love & Relationships,Medium
678,Love & Relationships,High
679,Love & Relationships,High
680,Love & Relationships,Medium
681,Love & Relationships,Medium
682,Love & Relationships,Medium
683,Love & Relationships,Medium
684,Love & Relationships,Medium
685,Love & Relationships,Medium
686,Love & Relationships,Medium
687,Love & Relationships,Medium
